"id","year","value"
"AE",2013,7890000
"afdb",2013,2302030000
"arab-fund-afesd",2013,0
"asdb",2013,6157160000
"AT",2013,617750000
"AU",2013,492930000
"badea",2013,0
"BE",2013,187040000
"BG",2013,49600000
"CA",2013,3228360000
"cardb",2013,54330000
"CH",2013,0
"CL",2012,7314278000
"CY",2013,20370000
"CZ",2013,207860000
"DE",2013,1160050000
"DK",2013,44530000
"ebrd",2013,3823230000
"EE",2013,28510000
"ES",2013,13930000
"EU",2013,1366230000
"FI",2013,23790000
"FR",2013,1437130000
"GB",2013,187200000
"GR",2013,0
"HR",2013,45040000
"HU",2013,123430000
"ibrd",2013,16218620000
"idb",2013,9818310000
"IE",2013,816230000
"ifad",2013,57450000
"ifc",2013,6736730000
"IL",2013,184840000
"IS",2013,32980000
"islamic-dev-bank",2013,0
"IT",2013,153530000
"JP",2013,8695310000
"KR",2013,6062330000
"KW",2013,0
"LI",2013,28240000
"LT",2013,50370000
"LU",2013,0
"LV",2013,23700000
"MT",2013,18240000
"MX",2012,0
"NL",2013,0
"NO",2013,310000
"nordic-dev-fund",2013,0
"NZ",2013,10700000
"ofid",2013,678020000
"PL",2013,473820000
"PT",2013,3010000
"RO",2013,133780000
"RU",2013,688200000
"SA",2013,0
"SE",2013,44310000
"SI",2013,59450000
"SK",2013,82250000
"TH",2013,64610000
"TR",2013,2590000
"TW",2013,271510000
"US",2013,2.791e+09
