"id","entity-name","year","value"
"d18974","Baringo",2009,46
"d18975","Bomet",2009,42
"d18987","Bungoma",2009,2
"d18988","Busia",2009,6
"d18976","Elgeyo-Marakwet",2009,41
"d18955","Embu",2009,28
"d18965","Garissa",2009,13
"d18968","Homa Bay",2009,44
"d18956","Isiolo",2009,4
"d18991","Kajiado",2009,17
"d18989","Kakamega",2009,11
"d18977","Kericho",2009,34
"d18943","Kiambu",2009,7
"d18949","Kilifi",2009,12
"d18944","Kirinyaga",2009,32
"d18969","Kisii",2009,22
"d18970","Kisumu",2009,29
"d18957","Kitui",2009,38
"d18950","Kwale",2009,25
"d18978","Laikipia",2009,27
"d18951","Lamu",2009,1
"d18958","Machakos",2009,30
"d18959","Makueni",2009,31
"d18966","Mandera",2009,36
"d18960","Marsabit",2009,8
"d18961","Meru",2009,26
"d18971","Migori",2009,39
"d18952","Mombasa",2009,14
"d18946","Murang'a",2009,37
"d18964","Nairobi",2009,5
"d18979","Nakuru",2009,24
"d18980","Nandi",2009,33
"d18981","Narok",2009,47
"d18962","Nithi",2009,43
"d18972","Nyamira",2009,20
"d18947","Nyandarua",2009,21
"d18948","Nyeri",2009,19
"d18982","Samburu",2009,23
"d18973","Siaya",2009,40
"d18953","Taita Taveta",2009,18
"d18954","Tana River",2009,35
"d18983","Trans-Nzoia",2009,9
"d18984","Turkana",2009,15
"d18985","Uasin Gishu",2009,3
"d18990","Vihiga",2009,10
"d18967","Wajir",2009,16
"d18986","West Pokot",2009,45
