"series","country-year"
"id","intl-flows-recipients"
"type","multi"
"parent",
"name","International resource flows to and from developing countries"
"columns","id, year, direction, flow-type, flow-name, value"
"description","Estimates of resource flows into and out of each country. Estimates are gross inflows/outflows where available, with the following exceptions: foreign direct investment and portfolio equity are net inflows (new investments minus disinvestments) and short-term debt is net flows (disbursements minus principal repayments). See methodology for detailed notes on the data for each resource flow."
"default-scale","lin"
"themes","intlmix"
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","constant 2012 US$ millions"
"uom_display","USD"
"source","Development Initiatives calculations based on numerous sources. Disbursements and capital and interest repayments on official development assistance and other official flows: OECD DAC. Foreign direct investment: UNCTAD Stat. Outflows of profits on FDI in each country and portfolio equity: World Bank data bank. Remittances: World Bank Migration and Remittances Factbook. Long and short term debt disbursements and capital and interest repayments: World Bank International Debt Statistics. Illicit financing and trade mispricing: Global Financial Integrity program."
"calculation",
"format",
"highorlow","highisbetter"
"range",
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
