"id","entity-name","year","value"
"d314","Abim",2014,8.2
"d301","Adjumani",2014,7.2
"d322","Agago",2014,8.6
"d323","Alebtong",2014,7.8
"d315","Amolatar",2014,9.1
"d324","Amudat",2014,4.4
"d216","Amuria",2014,7.7
"d316","Amuru",2014,6.1
"d302","Apac",2014,8
"d303","Arua",2014,3.7
"d217","Budaka",2014,8.5
"d218","Bududa",2014,8.6
"d201","Bugiri",2014,6.5
"d420","Buhweju",2014,7.7
"d117","Buikwe",2014,7.8
"d219","Bukedea",2014,6.8
"d118","Bukomansimbi",2014,9
"d220","Bukwo",2014,9
"d225","Bulambuli",2014,7.5
"d416","Buliisa",2014,8.5
"d401","Bundibugyo",2014,6.4
"d402","Bushenyi",2014,6.9
"d202","Busia",2014,6.5
"d221","Butaleja",2014,7.1
"d119","Butambala",2014,9
"d120","Buvuma",2014,6.7
"d226","Buyende",2014,4
"d317","Dokolo",2014,8.2
"d121","Gomba",2014,7.9
"d304","Gulu",2014,7.7
"d403","Hoima",2014,7.9
"d417","Ibanda",2014,6.9
"d203","Iganga",2014,6.4
"d418","Isingiro",2014,8
"d204","Jinja",2014,6.1
"d318","Kaabong",2014,8.6
"d404","Kabale",2014,8.3
"d405","Kabarole",2014,5.3
"d213","Kaberamaido",2014,5.4
"d101","Kalangala",2014,6
"d222","Kaliro",2014,5.3
"d122","Kalungu",2014,6.9
"d102","Kampala",2014,1.8
"d205","Kamuli",2014,4.9
"d413","Kamwenge",2014,8.2
"d414","Kanungu",2014,9.6
"d206","Kapchorwa",2014,6.6
"d406","Kasese",2014,4.8
"d207","Katakwi",2014,6.2
"d112","Kayunga",2014,9
"d407","Kibaale",2014,6.9
"d103","Kiboga",2014,8.5
"d227","Kibuku",2014,5
"d419","Kiruhura",2014,8.1
"d421","Kiryandongo",2014,6.8
"d408","Kisoro",2014,8.7
"d305","Kitgum",2014,5.2
"d319","Koboko",2014,9
"d325","Kole",2014,7.7
"d306","Kotido",2014,8.2
"d208","Kumi",2014,8.9
"d228","Kween",2014,5.4
"d123","Kyankwanzi",2014,8.6
"d422","Kyegegwa",2014,7.9
"d415","Kyenjojo",2014,4.3
"d326","Lamwo",2014,9
"d307","Lira",2014,9.3
"d229","Luuka",2014,5.8
"d104","Luwero",2014,7.9
"d124","Lwengo",2014,6.9
"d114","Lyantonde",2014,8.2
"d223","Manafwa",2014,6.6
"d320","Maracha",2014,8.3
"d105","Masaka",2014,8.9
"d409","Masindi",2014,7.7
"d214","Mayuge",2014,6.7
"d209","Mbale",2014,8
"d410","Mbarara",2014,8
"d423","Mitooma",2014,7.5
"d115","Mityana",2014,8.9
"d308","Moroto",2014,8.6
"d309","Moyo",2014,9.9
"d106","Mpigi",2014,6.5
"d107","Mubende",2014,6.3
"d108","Mukono",2014,9
"d311","Nakapiripirit",2014,8.9
"d116","Nakaseke",2014,6.8
"d109","Nakasongola",2014,6.4
"d230","Namayingo",2014,6.5
"d224","Namutumba",2014,6.4
"d327","Napak",2014,8.8
"d310","Nebbi",2014,6.9
"d231","Ngora",2014,8
"d424","Ntoroko",2014,3.9
"d411","Ntungamo",2014,7.3
"d328","Nwoya",2014,9
"d329","Otuke",2014,6.4
"d321","Oyam",2014,6
"d312","Pader",2014,6.4
"d210","Pallisa",2014,6.6
"d110","Rakai",2014,7
"d425","Rubirizi",2014,8.8
"d412","Rukungiri",2014,8.8
"d232","Serere",2014,6.8
"d426","Sheema",2014,6.8
"d215","Sironko",2014,5.8
"d211","Soroti",2014,7.2
"d111","Ssembabule",2014,7
"d212","Tororo",2014,6.9
"d113","Wakiso",2014,5.8
"d313","Yumbe",2014,10
"d330","Zombo",2014,8.9
