"id","entity-name","year","value"
"AU","Australia",1960,155660803675
"AU","Australia",1961,153564165276
"AU","Australia",1962,164351009559
"AU","Australia",1963,174025313287
"AU","Australia",1964,187156022061
"AU","Australia",1965,196475280161
"AU","Australia",1966,201424522407
"AU","Australia",1967,213367367077
"AU","Australia",1968,222972864550
"AU","Australia",1969,234082536188
"AU","Australia",1970,248157592807
"AU","Australia",1971,255528222794
"AU","Australia",1972,268861667828
"AU","Australia",1973,281018145354
"AU","Australia",1974,287269348377
"AU","Australia",1975,296454080848
"AU","Australia",1976,309782297524
"AU","Australia",1977,320776251960
"AU","Australia",1978,325179386645
"AU","Australia",1979,335201765056
"AU","Australia",1980,347588556372
"AU","Australia",1981,359103683814
"AU","Australia",1982,361461408032
"AU","Australia",1983,365940651723
"AU","Australia",1984,398495459986
"AU","Australia",1985,425422248305
"AU","Australia",1986,434493229521
"AU","Australia",1987,449650655308
"AU","Australia",1988,475318734637
"AU","Australia",1989,493206430330
"AU","Australia",1990,493294781014
"AU","Australia",1991,482616725014
"AU","Australia",1992,502982881634
"AU","Australia",1993,533264101825
"AU","Australia",1994,568584993002
"AU","Australia",1995,596217995314
"AU","Australia",1996,622419311463
"AU","Australia",1997,645770175965
"AU","Australia",1998,687614301617
"AU","Australia",1999,711827287466
"AU","Australia",2000,739130483836
"AU","Australia",2001,747969458911
"AU","Australia",2002,771661836923
"AU","Australia",2003,798084298252
"AU","Australia",2004,820586058675
"AU","Australia",2005,864741076493
"AU","Australia",2006,883134803301
"AU","Australia",2007,875243941001
"AU","Australia",2008,942936285123
"AU","Australia",2009,1000089510454
"AU","Australia",2010,1017721357399
"AU","Australia",2011,1060408069315
"AU","Australia",2012,1095194034957
"AU","Australia",2013,1135012883571
"AU","Australia",2014,1153063969886
"AU","Australia",2015,1200091670000
"AT","Austria",1960,80482661025
"AT","Austria",1961,84860983164
"AT","Austria",1962,86679928853
"AT","Austria",1963,90201311508
"AT","Austria",1964,95847781396
"AT","Austria",1965,98908908324
"AT","Austria",1966,103223008148
"AT","Austria",1967,105625018220
"AT","Austria",1968,109440945967
"AT","Austria",1969,116043988728
"AT","Austria",1970,124667142970
"AT","Austria",1971,130378785910
"AT","Austria",1972,138791155522
"AT","Austria",1973,145645205150
"AT","Austria",1974,151548314222
"AT","Austria",1975,150870743021
"AT","Austria",1976,157654585089
"AT","Austria",1977,164230171394
"AT","Austria",1978,163965713404
"AT","Austria",1979,171606686133
"AT","Austria",1980,176033800489
"AT","Austria",1981,175206736695
"AT","Austria",1982,179319661281
"AT","Austria",1983,183777084819
"AT","Austria",1984,187949097562
"AT","Austria",1985,193671888535
"AT","Austria",1986,197271219531
"AT","Austria",1987,198548661507
"AT","Austria",1988,205848228731
"AT","Austria",1989,213942553654
"AT","Austria",1990,224423825595
"AT","Austria",1991,228781339685
"AT","Austria",1992,234767415273
"AT","Austria",1993,239500677461
"AT","Austria",1994,247856523591
"AT","Austria",1995,253989226898
"AT","Austria",1996,261884205106
"AT","Austria",1997,264500811807
"AT","Austria",1998,275231791220
"AT","Austria",1999,282209163517
"AT","Austria",2000,292134531175
"AT","Austria",2001,291538845223
"AT","Austria",2002,300875787751
"AT","Austria",2003,304677129785
"AT","Austria",2004,316200207022
"AT","Austria",2005,319357450197
"AT","Austria",2006,329051995441
"AT","Austria",2007,335246436031
"AT","Austria",2008,344452465713
"AT","Austria",2009,330623310712
"AT","Austria",2010,341196216396
"AT","Austria",2011,354062759897
"AT","Austria",2012,356280444225
"AT","Austria",2013,368696476572
"AT","Austria",2014,368030396149
"AT","Austria",2015,374138660000
"BE","Belgium",1960,103563774603
"BE","Belgium",1961,108496018691
"BE","Belgium",1962,113488914448
"BE","Belgium",1963,119129534492
"BE","Belgium",1964,126679960450
"BE","Belgium",1965,130915332329
"BE","Belgium",1966,135935341094
"BE","Belgium",1967,140728694246
"BE","Belgium",1968,147281274508
"BE","Belgium",1969,157737427423
"BE","Belgium",1970,165885770025
"BE","Belgium",1971,173066007245
"BE","Belgium",1972,179081492598
"BE","Belgium",1973,192623848326
"BE","Belgium",1974,200921401809
"BE","Belgium",1975,198377787848
"BE","Belgium",1976,209344762599
"BE","Belgium",1977,210008326074
"BE","Belgium",1978,216488155866
"BE","Belgium",1979,219432852496
"BE","Belgium",1980,227484872066
"BE","Belgium",1981,223834589815
"BE","Belgium",1982,225539633275
"BE","Belgium",1983,226565944552
"BE","Belgium",1984,230731593970
"BE","Belgium",1985,235236976799
"BE","Belgium",1986,246121203912
"BE","Belgium",1987,252344013686
"BE","Belgium",1988,258390932562
"BE","Belgium",1989,266053362267
"BE","Belgium",1990,278883341233
"BE","Belgium",1991,285300130491
"BE","Belgium",1992,287901981146
"BE","Belgium",1993,277133393454
"BE","Belgium",1994,290123615498
"BE","Belgium",1995,297983861047
"BE","Belgium",1996,307816638010
"BE","Belgium",1997,324784545880
"BE","Belgium",1998,330163710073
"BE","Belgium",1999,342266485142
"BE","Belgium",2000,354730432304
"BE","Belgium",2001,367672549673
"BE","Belgium",2002,361354612376
"BE","Belgium",2003,367450722533
"BE","Belgium",2004,380234565037
"BE","Belgium",2005,388687594229
"BE","Belgium",2006,398859433379
"BE","Belgium",2007,414408911131
"BE","Belgium",2008,419890539452
"BE","Belgium",2009,410879171825
"BE","Belgium",2010,419401593417
"BE","Belgium",2011,436629627091
"BE","Belgium",2012,431167199433
"BE","Belgium",2013,428715033582
"BE","Belgium",2014,443447225790
"BE","Belgium",2015,457652800000
"BG","Bulgaria",2010,43714517808
"BG","Bulgaria",2011,46125552356
"BG","Bulgaria",2012,45072398853
"BG","Bulgaria",2013,46050833691
"BG","Bulgaria",2014,48454360920
"BG","Bulgaria",2015,4.7651e+10
"CA","Canada",1960,265061073851
"CA","Canada",1961,271491144399
"CA","Canada",1962,289414730147
"CA","Canada",1963,302400886770
"CA","Canada",1964,323785345543
"CA","Canada",1965,343434461823
"CA","Canada",1966,365274921228
"CA","Canada",1967,375218409843
"CA","Canada",1968,392035508679
"CA","Canada",1969,410673621954
"CA","Canada",1970,425236413807
"CA","Canada",1971,446087224827
"CA","Canada",1972,469410292917
"CA","Canada",1973,502594710561
"CA","Canada",1974,521084139942
"CA","Canada",1975,529268870196
"CA","Canada",1976,558059472793
"CA","Canada",1977,574580681067
"CA","Canada",1978,589846586126
"CA","Canada",1979,606447497536
"CA","Canada",1980,613972531437
"CA","Canada",1981,633417260636
"CA","Canada",1982,625991713517
"CA","Canada",1983,648027083187
"CA","Canada",1984,675843865342
"CA","Canada",1985,705719307044
"CA","Canada",1986,736062891955
"CA","Canada",1987,766928481097
"CA","Canada",1988,799906484412
"CA","Canada",1989,824272892094
"CA","Canada",1990,831960030724
"CA","Canada",1991,810558222300
"CA","Canada",1992,805951560198
"CA","Canada",1993,823257359475
"CA","Canada",1994,852500402286
"CA","Canada",1995,870336607466
"CA","Canada",1996,878447975923
"CA","Canada",1997,931815372324
"CA","Canada",1998,964328368747
"CA","Canada",1999,1012064637480
"CA","Canada",2000,1079097266296
"CA","Canada",2001,1140279341030
"CA","Canada",2002,1163394603115
"CA","Canada",2003,1192677040246
"CA","Canada",2004,1220217213290
"CA","Canada",2005,1263241512117
"CA","Canada",2006,1296271318977
"CA","Canada",2007,1337593420604
"CA","Canada",2008,1346807434871
"CA","Canada",2009,1307712863890
"CA","Canada",2010,1350519130100
"CA","Canada",2011,1382372644257
"CA","Canada",2012,1441644226606
"CA","Canada",2013,1474773667165
"CA","Canada",2014,1519132422808
"CA","Canada",2015,1529870140000
"HR","Croatia",2012,48984871353
"HR","Croatia",2013,50442311527
"HR","Croatia",2014,51237766443
"HR","Croatia",2015,5.5035e+10
"CY","Cyprus",2005,15961236588
"CY","Cyprus",2006,17089154849
"CY","Cyprus",2007,18202286061
"CY","Cyprus",2008,19137722765
"CY","Cyprus",2009,20206993614
"CY","Cyprus",2010,19452362323
"CY","Cyprus",2011,19388523018
"CY","Cyprus",2012,18369582034
"CY","Cyprus",2013,17167962970
"CY","Cyprus",2014,16290586197
"CY","Cyprus",2015,20342170000
"CZ","Czech Republic",1998,100816127066
"CZ","Czech Republic",1999,98096357226
"CZ","Czech Republic",2000,100718748024
"CZ","Czech Republic",2001,105289169298
"CZ","Czech Republic",2002,111278911242
"CZ","Czech Republic",2003,110720327354
"CZ","Czech Republic",2004,121493754981
"CZ","Czech Republic",2005,132014321760
"CZ","Czech Republic",2006,139525239106
"CZ","Czech Republic",2007,147441792805
"CZ","Czech Republic",2008,151988193955
"CZ","Czech Republic",2009,145126062614
"CZ","Czech Republic",2010,148076982160
"CZ","Czech Republic",2011,153650580519
"CZ","Czech Republic",2012,151953577898
"CZ","Czech Republic",2013,152593509750
"CZ","Czech Republic",2014,161338739958
"CZ","Czech Republic",2015,169115910000
"dac-countries-total","DAC Countries, Total",1960,6679058264137
"dac-countries-total","DAC Countries, Total",1961,7078424625613
"dac-countries-total","DAC Countries, Total",1962,7364706997374
"dac-countries-total","DAC Countries, Total",1963,7616479626100
"dac-countries-total","DAC Countries, Total",1964,8162549713705
"dac-countries-total","DAC Countries, Total",1965,8595775490048
