"id","year","value"
"d101",2013,12
"d102",2013,21
"d103",2013,18
"d104",2013,21
"d105",2013,18
"d106",2013,15
"d107",2013,24
"d108",2013,20
"d109",2013,23
"d110",2013,29
"d111",2013,18
"d112",2013,21
"d113",2013,19
"d114",2013,20
"d115",2013,20
"d116",2013,18
"d117",2013,22
"d118",2013,29
"d119",2013,19
"d120",2013,12
"d121",2013,18
"d122",2013,21
"d123",2013,15
"d124",2013,22
"d201",2013,26
"d202",2013,28
"d203",2013,26
"d204",2013,27
"d205",2013,28
"d206",2013,27
"d207",2013,27
"d208",2013,23
"d209",2013,25
"d210",2013,26
"d211",2013,25
"d212",2013,26
"d213",2013,24
"d214",2013,28
"d215",2013,21
"d216",2013,25
"d217",2013,28
"d218",2013,33
"d219",2013,28
"d220",2013,29
"d221",2013,26
"d222",2013,37
"d223",2013,29
"d224",2013,35
"d225",2013,31
"d226",2013,31
"d227",2013,20
"d228",2013,26
"d229",2013,26
"d230",2013,35
"d231",2013,26
"d232",2013,24
"d301",2013,21
"d302",2013,22
"d303",2013,17
"d304",2013,19
"d305",2013,32
"d306",2013,37
"d307",2013,23
"d308",2013,19
"d309",2013,21
"d310",2013,24
"d311",2013,25
"d312",2013,17
"d313",2013,23
"d314",2013,30
"d315",2013,20
"d316",2013,21
"d317",2013,21
"d318",2013,27
"d319",2013,17
"d320",2013,16
"d321",2013,22
"d322",2013,28
"d323",2013,18
"d324",2013,15
"d325",2013,19
"d326",2013,37
"d327",2013,19
"d328",2013,20
"d329",2013,20
"d330",2013,19
"d401",2013,23
"d402",2013,20
"d403",2013,25
"d404",2013,19
"d405",2013,27
"d406",2013,19
"d407",2013,20
"d408",2013,21
"d409",2013,24
"d410",2013,19
"d411",2013,21
"d412",2013,24
"d413",2013,22
"d414",2013,21
"d415",2013,24
"d416",2013,24
"d417",2013,19
"d418",2013,17
"d419",2013,19
"d420",2013,13
"d421",2013,23
"d422",2013,19
"d423",2013,22
"d424",2013,55
"d425",2013,19
"d426",2013,20
