"series","country-year"
"id","income-share-by-quintile"
"type","composite"
"parent",
"name","Income share by quintile"
"columns","id, year, income-share-bottom-20pc, income-share-second-20pc, income-share-third-20pc, income-share-fourth-20pc, income-share-highest-20pc"
"description","Percentage of income received by each quintile of the population"
"default-scale","lin"
"theme",
"uom","percent"
"uom_display","%"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"theme-order",
