id-to,year,destination-institution-type,creditor-type,creditor-institution,financing-type,value
AE,2000,ppg,official,bilateral,concessional,
AE,2000,ppg,official,bilateral,non-concessional,
AE,2000,ppg,official,multilateral,concessional,
AE,2000,ppg,official,multilateral,non-concessional,
AE,2001,ppg,official,bilateral,concessional,
AE,2001,ppg,official,bilateral,non-concessional,
AE,2001,ppg,official,multilateral,concessional,
AE,2001,ppg,official,multilateral,non-concessional,
AE,2002,ppg,official,bilateral,concessional,
AE,2002,ppg,official,bilateral,non-concessional,
AE,2002,ppg,official,multilateral,concessional,
AE,2002,ppg,official,multilateral,non-concessional,
AE,2003,ppg,official,bilateral,concessional,
AE,2003,ppg,official,bilateral,non-concessional,
AE,2003,ppg,official,multilateral,concessional,
AE,2003,ppg,official,multilateral,non-concessional,
AE,2004,ppg,official,bilateral,concessional,
AE,2004,ppg,official,bilateral,non-concessional,
AE,2004,ppg,official,multilateral,concessional,
AE,2004,ppg,official,multilateral,non-concessional,
AE,2005,ppg,official,bilateral,concessional,
AE,2005,ppg,official,bilateral,non-concessional,
AE,2005,ppg,official,multilateral,concessional,
AE,2005,ppg,official,multilateral,non-concessional,
AE,2006,ppg,official,bilateral,concessional,
AE,2006,ppg,official,bilateral,non-concessional,
AE,2006,ppg,official,multilateral,concessional,
AE,2006,ppg,official,multilateral,non-concessional,
AE,2007,ppg,official,bilateral,concessional,
AE,2007,ppg,official,bilateral,non-concessional,
AE,2007,ppg,official,multilateral,concessional,
AE,2007,ppg,official,multilateral,non-concessional,
AE,2008,ppg,official,bilateral,concessional,
AE,2008,ppg,official,bilateral,non-concessional,
AE,2008,ppg,official,multilateral,concessional,
AE,2008,ppg,official,multilateral,non-concessional,
AE,2009,ppg,official,bilateral,concessional,
AE,2009,ppg,official,bilateral,non-concessional,
AE,2009,ppg,official,multilateral,concessional,
AE,2009,ppg,official,multilateral,non-concessional,
AE,2010,ppg,official,bilateral,concessional,
AE,2010,ppg,official,bilateral,non-concessional,
AE,2010,ppg,official,multilateral,concessional,
AE,2010,ppg,official,multilateral,non-concessional,
AE,2011,ppg,official,bilateral,concessional,
AE,2011,ppg,official,bilateral,non-concessional,
AE,2011,ppg,official,multilateral,concessional,
AE,2011,ppg,official,multilateral,non-concessional,
AE,2012,ppg,official,bilateral,concessional,
AE,2012,ppg,official,bilateral,non-concessional,
AE,2012,ppg,official,multilateral,concessional,
AE,2012,ppg,official,multilateral,non-concessional,
AE,2013,ppg,official,bilateral,concessional,
AE,2013,ppg,official,bilateral,non-concessional,
AE,2013,ppg,official,multilateral,concessional,
AE,2013,ppg,official,multilateral,non-concessional,
AF,2000,ppg,official,bilateral,concessional,
AF,2000,ppg,official,bilateral,non-concessional,
AF,2000,ppg,official,multilateral,concessional,
AF,2000,ppg,official,multilateral,non-concessional,
AF,2001,ppg,official,bilateral,concessional,
AF,2001,ppg,official,bilateral,non-concessional,
AF,2001,ppg,official,multilateral,concessional,
AF,2001,ppg,official,multilateral,non-concessional,
AF,2002,ppg,official,bilateral,concessional,0
AF,2002,ppg,official,bilateral,non-concessional,0
AF,2002,ppg,official,multilateral,concessional,0
AF,2002,ppg,official,multilateral,non-concessional,0
AF,2003,ppg,official,bilateral,concessional,0
AF,2003,ppg,official,bilateral,non-concessional,0
AF,2003,ppg,official,multilateral,concessional,0
AF,2003,ppg,official,multilateral,non-concessional,0
AF,2004,ppg,official,bilateral,concessional,0
AF,2004,ppg,official,bilateral,non-concessional,0
AF,2004,ppg,official,multilateral,concessional,0
AF,2004,ppg,official,multilateral,non-concessional,0
AF,2005,ppg,official,bilateral,concessional,0
AF,2005,ppg,official,bilateral,non-concessional,0
AF,2005,ppg,official,multilateral,concessional,0
AF,2005,ppg,official,multilateral,non-concessional,0
