id,year,round
AE,2000,532697836
AE,2001,684785718
AE,2002,756886837
AE,2003,1105810693
AE,2004,530867715
AE,2005,541812523
AE,2006,813333300
AE,2007,2340375297
AE,2008,1162956904
AE,2009,898801431
AE,2010,388962088
AE,2011,635357639
AE,2012,687521917
AE,2013,4863986342
AE,2014,4557675421
AE,2015,4381370000
BG,2000,0
BG,2001,0
BG,2002,0
BG,2003,0
BG,2004,0
BG,2005,0
BG,2006,0
BG,2007,0
BG,2008,0
BG,2009,0
BG,2010,38063593
BG,2011,42828271
BG,2012,36188229
BG,2013,44712607
BG,2014,43671736
BG,2015,40930000
BR,2005,332430639
BR,2006,400904197
BR,2007,385423347
BR,2008,376226644
BR,2009,400283308
BR,2010,705997674
CN,2001,1688937478
CN,2002,1802433700
CN,2003,1841524967
CN,2004,1995012778
CN,2005,2323672057
CN,2006,2701846205
CN,2007,3675042274
CN,2008,3437802768
CN,2009,4354977869
CN,2010,4760393621
CN,2011,5242065477
CN,2012,6333645694
CN,2013,7549860957
CY,2000,0
CY,2001,0
CY,2002,0
CY,2003,0
CY,2004,0
CY,2005,14736984
CY,2006,24827987
CY,2007,30899064
CY,2008,31582781
CY,2009,39672059
CY,2010,44161526
CY,2011,30569562
CY,2012,20857486
CY,2013,16854035
CY,2014,15247712
CY,2015,18240000
EE,2000,1247149
EE,2001,1137602
EE,2002,2629124
EE,2003,1811736
EE,2004,7061558
EE,2005,13036074
EE,2006,17519068
EE,2007,16558427
EE,2008,19676298
EE,2009,17350535
EE,2010,18167923
EE,2011,21243661
EE,2012,21429048
EE,2013,26367082
EE,2014,31616904
EE,2015,33890000
HR,2000,0
HR,2001,0
HR,2002,0
HR,2003,0
HR,2004,0
HR,2005,0
HR,2006,0
HR,2007,0
HR,2008,0
HR,2009,0
HR,2010,0
HR,2011,0
HR,2012,19340422
HR,2013,40591564
HR,2014,64668416
HR,2015,51410000
HU,2000,0
HU,2001,0
HU,2002,0
HU,2003,25439987
HU,2004,72330202
HU,2005,99482494
HU,2006,150969789
HU,2007,86501017
HU,2008,81465316
HU,2009,98310029
HU,2010,96968862
HU,2011,112101269
HU,2012,102654059
HU,2013,107268009
HU,2014,121489433
HU,2015,155550000
IL,2000,229664732
IL,2001,130832356
IL,2002,199654096
IL,2003,164442754
IL,2004,121425612
IL,2005,136696176
IL,2006,125840056
IL,2007,142133709
IL,2008,150394213
IL,2009,142673674
IL,2010,155945423
IL,2011,208966110
IL,2012,190323138
IL,2013,194879678
IL,2014,189082168
IL,2015,197930000
IN,2008,807516210
IN,2009,704905469
IN,2010,678268926
IN,2011,744773829
IN,2012,973574743
IN,2013,1207653823
KW,2000,220194786
KW,2001,103212102
KW,2002,27639851
KW,2003,164493447
KW,2004,176245540
KW,2005,232162188
KW,2006,164116661
KW,2007,106199466
KW,2008,260178824
KW,2009,209949832
KW,2010,218337777
KW,2011,155037944
KW,2012,162779972
KW,2013,208030024
KW,2014,248345990
KW,2015,304460000
KZ,2000,0
KZ,2001,0
KZ,2002,0
KZ,2003,0
KZ,2004,0
KZ,2005,0
KZ,2006,0
KZ,2007,0
KZ,2008,0
KZ,2009,0
KZ,2010,0
KZ,2011,0
KZ,2012,0
KZ,2013,6827408
KZ,2014,26740683
KZ,2015,42960000
LI,2000,0
LI,2001,0
LI,2002,0
LI,2003,0
LI,2004,0
LI,2005,0
LI,2006,0
LI,2007,17339726
LI,2008,21762119
LI,2009,24910719
LI,2010,25027333
LI,2011,27844030
LI,2012,25897459
LI,2013,25439970
LI,2014,24516022
LI,2015,24220000
LT,2000,0
LT,2001,3427717
LT,2002,2934460
LT,2003,2875938
LT,2004,12080612
LT,2005,19320619
LT,2006,28918227
LT,2007,46416304
LT,2008,39736435
LT,2009,32755597
LT,2010,34093243
LT,2011,43398241
LT,2012,46148774
LT,2013,42662536
LT,2014,38097820
LT,2015,48110000
LV,2000,0
LV,2001,0
LV,2002,2801562
LV,2003,1447053
LV,2004,12106448
LV,2005,14445290
LV,2006,14268615
LV,2007,14453703
LV,2008,16809370
LV,2009,18643426
LV,2010,14874358
LV,2011,16296171
LV,2012,18912645
LV,2013,20216675
LV,2014,21344030
LV,2015,23170000
MT,2000,0
MT,2001,0
MT,2002,0
MT,2003,0
MT,2004,0
MT,2005,0
MT,2006,0
MT,2007,0
MT,2008,0
MT,2009,12998613
MT,2010,12971701
MT,2011,17663402
MT,2012,16829122
MT,2013,16443380
MT,2014,18309296
MT,2015,16560000
MX,2011,237549090
MX,2012,251257546
other-donor-countries,2000,0
other-donor-countries,2001,0
other-donor-countries,2002,0
other-donor-countries,2003,0
other-donor-countries,2004,0
other-donor-countries,2005,0
other-donor-countries,2006,0
other-donor-countries,2007,0
other-donor-countries,2008,0
other-donor-countries,2009,0
other-donor-countries,2010,0
other-donor-countries,2011,0
other-donor-countries,2012,0
other-donor-countries,2013,0
other-donor-countries,2014,0
other-donor-countries,2015,0
RO,2000,0
RO,2001,0
RO,2002,0
RO,2003,0
RO,2004,0
RO,2005,0
RO,2006,0
RO,2007,0
RO,2008,112884262
RO,2009,144830607
RO,2010,107393905
RO,2011,145027973
RO,2012,128969574
RO,2013,120563585
RO,2014,191651156
RO,2015,158090000
RU,2000,0
RU,2001,0
RU,2002,0
RU,2003,0
RU,2004,0
RU,2005,0
RU,2006,0
RU,2007,0
RU,2008,0
RU,2009,0
RU,2010,351856290
RU,2011,326545172
RU,2012,284596400
RU,2013,426452145
RU,2014,591639784
RU,2015,1161400000
SA,2000,339309994
SA,2001,266065408
SA,2002,3101959999
SA,2003,2634585835
SA,2004,1752876685
SA,2005,1006651402
SA,2006,1942294047
SA,2007,1381055868
SA,2008,4222531781
SA,2009,2746485658
SA,2010,3019001883
SA,2011,4162727093
SA,2012,1085816827
SA,2013,4723609196
SA,2014,11290141609
SA,2015,6758220000
TH,2000,0
TH,2001,0
TH,2002,0
TH,2003,0
TH,2004,0
TH,2005,0
TH,2006,76612072
TH,2007,64555091
TH,2008,162643662
TH,2009,36538756
TH,2010,4198413
TH,2011,20175709
TH,2012,10406324
TH,2013,32735065
TH,2014,61872771
TH,2015,62420000
TL,2000,0
TL,2001,0
TL,2002,0
TL,2003,0
TL,2004,0
TL,2005,0
TL,2006,0
TL,2007,0
TL,2008,0
TL,2009,0
TL,2010,0
TL,2011,0
TL,2012,0
TL,2013,0
TL,2014,2225256
TL,2015,4000000
TR,2000,121316204
TR,2001,122273965
TR,2002,124672676
TR,2003,91703315
TR,2004,395537416
TR,2005,613371618
TR,2006,711520402
TR,2007,513471263
TR,2008,597952553
TR,2009,607935690
TR,2010,763144500
TR,2011,1031437961
TR,2012,2057707461
TR,2013,2690631183
TR,2014,3098550450
TR,2015,3919140000
TW,2000,0
TW,2001,0
TW,2002,0
TW,2003,0
TW,2004,460986595
TW,2005,513296813
TW,2006,533086959
TW,2007,495937823
TW,2008,399848859
TW,2009,390563820
TW,2010,358025804
TW,2011,337446206
TW,2012,275770209
TW,2013,244703448
TW,2014,245779975
TW,2015,254760000
ZA,2000,41485024
ZA,2001,69964303
ZA,2002,115180398
ZA,2003,97226595
ZA,2004,73680805
ZA,2005,74756703
ZA,2006,96966589
ZA,2007,104727702
ZA,2008,146932364
ZA,2009,204494298
ZA,2010,155623508
ZA,2011,147645916
ZA,2012,162806226
ZA,2013,170812832
