"id","entity-name","year","value"
"d314","Abim",2014,73
"d301","Adjumani",2014,107
"d322","Agago",2014,75
"d323","Alebtong",2014,75
"d315","Amolatar",2014,90
"d324","Amudat",2014,46
"d216","Amuria",2014,70
"d316","Amuru",2014,75
"d302","Apac",2014,120
"d303","Arua",2014,54
"d217","Budaka",2014,82
"d218","Bududa",2014,60
"d201","Bugiri",2014,51
"d420","Buhweju",2014,36
"d117","Buikwe",2014,71
"d219","Bukedea",2014,80
"d118","Bukomansimbi",2014,70
"d220","Bukwo",2014,55
"d225","Bulambuli",2014,64
"d416","Buliisa",2014,73
"d401","Bundibugyo",2014,95
"d402","Bushenyi",2014,78
"d202","Busia",2014,71
"d221","Butaleja",2014,53
"d119","Butambala",2014,56
"d120","Buvuma",2014,63
"d226","Buyende",2014,81
"d317","Dokolo",2014,83
"d121","Gomba",2014,58
"d304","Gulu",2014,85
"d403","Hoima",2014,60
"d417","Ibanda",2014,46
"d203","Iganga",2014,87
"d418","Isingiro",2014,51
"d204","Jinja",2014,84
"d318","Kaabong",2014,43
"d404","Kabale",2014,61
"d405","Kabarole",2014,71
"d213","Kaberamaido",2014,84
"d101","Kalangala",2014,80
"d222","Kaliro",2014,89
"d122","Kalungu",2014,76
"d102","Kampala",2014,326
"d205","Kamuli",2014,64
"d413","Kamwenge",2014,76
"d414","Kanungu",2014,60
"d206","Kapchorwa",2014,77
"d406","Kasese",2014,60
"d207","Katakwi",2014,55
"d112","Kayunga",2014,78
"d407","Kibaale",2014,51
"d103","Kiboga",2014,49
"d227","Kibuku",2014,66
"d419","Kiruhura",2014,49
"d421","Kiryandongo",2014,56
"d408","Kisoro",2014,68
"d305","Kitgum",2014,71
"d319","Koboko",2014,77
"d325","Kole",2014,110
"d306","Kotido",2014,76
"d208","Kumi",2014,61
"d228","Kween",2014,64
"d123","Kyankwanzi",2014,63
"d422","Kyegegwa",2014,81
"d415","Kyenjojo",2014,91
"d326","Lamwo",2014,59
"d307","Lira",2014,80
"d229","Luuka",2014,49
"d104","Luwero",2014,87
"d124","Lwengo",2014,55
"d114","Lyantonde",2014,59
"d223","Manafwa",2014,75
"d320","Maracha",2014,48
"d105","Masaka",2014,71
"d409","Masindi",2014,73
"d214","Mayuge",2014,58
"d209","Mbale",2014,76
"d410","Mbarara",2014,47
"d423","Mitooma",2014,67
"d115","Mityana",2014,56
"d308","Moroto",2014,57
"d309","Moyo",2014,60
"d106","Mpigi",2014,66
"d107","Mubende",2014,49
"d108","Mukono",2014,80
"d311","Nakapiripirit",2014,61
"d116","Nakaseke",2014,68
"d109","Nakasongola",2014,73
"d230","Namayingo",2014,41
"d224","Namutumba",2014,61
"d327","Napak",2014,89
"d310","Nebbi",2014,54
"d231","Ngora",2014,63
"d424","Ntoroko",2014,66
"d411","Ntungamo",2014,71
"d328","Nwoya",2014,51
"d329","Otuke",2014,71
"d321","Oyam",2014,76
"d312","Pader",2014,80
"d210","Pallisa",2014,66
"d110","Rakai",2014,60
"d425","Rubirizi",2014,46
"d412","Rukungiri",2014,83
"d232","Serere",2014,57
"d426","Sheema",2014,64
"d215","Sironko",2014,46
"d211","Soroti",2014,70
"d111","Ssembabule",2014,70
"d212","Tororo",2014,55
"d113","Wakiso",2014,69
"d313","Yumbe",2014,76
"d330","Zombo",2014,82
